video_id,objectlabels_groundtruth,generated_caption,objectlabels_rouge1_recall,objectlabels_bert_precision,objectlabels_bert_recall,objectlabels_bert_f1
IauuGcFwWZg.49,men grass,in the room a man was using a juicer which roared,0.0,0.8323,0.832,0.8322
Jk5dHnmduAg_320.000_330.000,birds sky,in the music a picture of a man playing an instrument is displayed,0.0,0.823,0.8217,0.8224
Jy04Fe2rNmw.2,man case steel,in the woods a dog was barking and a man was talking,0.3333,0.8295,0.8025,0.8158
KzzKguqINa8_100.000_110.000,man piano,in the game a man with a gun was shooting at the enemy making a thud,0.5,0.815,0.825,0.8199
LOVcimphxEc.1,man woman couch,a group of people were fighting in the room and there was a loud noise,0.0,0.8421,0.8481,0.8451
Ln0Epmhtvao_150.000_160.000,man instrument music hall,in the music a man is debugging the machine on the table,0.5,0.8355,0.8233,0.8294
LrL3EbvtOVw.40,cartoon light electricity smoke,a man in a black coat and sunglasses was walking along the road talking to someone next to him,0.0,0.7996,0.8146,0.807
Meshocn2mZQ_30.000_40.000,man dance,in the room two parrots stood on the stairs and made a sound,0.0,0.8117,0.8402,0.8257
MrisGbNESmA.2,woman speaker,a man in a black coat was waving his whip in the woods making a crackling sound,0.0,0.8049,0.8593,0.8312
NAIQyoPcjNM.11,chess,a woman in a white top was dancing to the music,0.0,0.8072,0.8341,0.8205
NYl0fGcNVl0.6,election campaign,in the background music a little girl in a red dress and a little girl in a pink dress came out of the car,0.0,0.7834,0.8335,0.8076
Olrb-mdHJ7s_150.000_160.000,mouse wheel,in the room a woman was lying in a chair and a man was talking,0.0,0.8125,0.81,0.8112
OseeYF_ud7g_120.000_130.000,man music instrument,a man was fishing by the river and there was a rattle of water,0.3333,0.8141,0.8411,0.8274
P2TWje4lsgQ.7,skate shoe man,in the sound of the game the character is jumping up and down,0.0,0.8288,0.8339,0.8313
P9keWnQjNJY_20.000_30.000,grass chicken,in the cheerful music the computer screen is constantly changing,0.0,0.821,0.8215,0.8212
Q9zKGzm4qnI.17,man,a red excavator was working in the woods making a buzz,0.0,0.806,0.8415,0.8234
QJgUEYFR49Y.46,man garage car shop,on the stage a man was playing an instrument that made a wonderful sound,0.25,0.8385,0.8368,0.8376
QPHZ8rHeIXo.8,man boy cage,in the room a woman lay on the ground and barked,0.0,0.831,0.8277,0.8294
R7ls6ZQJ5UM_570.000_580.000,cartoon dolphin sea mountain tree,a white hamster was eating vegetables on the table,0.0,0.8551,0.8483,0.8517
RX5jaZv52rQ_280.000_290.000,man nail tools,in the room two people were playing table tennis making a crackling sound,0.0,0.8272,0.8332,0.8302
S2AfkLBFuP4.8,windows computer program,in the room a man was singing with a microphone and a man was playing an instrument,0.0,0.818,0.8275,0.8227
SlcWZ2TKjnM_140.000_150.000,anime,a longhaired man in a green jacket sat on a rock playing an instrument,0.0,0.7945,0.8355,0.8145
Sv9fcuRfk2o_70.000_80.000,men drink car road,a flock of chickens were walking on the grass and a man was talking,0.0,0.8201,0.8296,0.8248
TiFboW8mqd4_30.000_40.000,parrot mirror staircase,a man in a white coat sat in a chair and spoke,0.0,0.8092,0.7836,0.7962
UbpTXBNIXtQ.18,apple computer program image,in the voice of a man the picture is constantly changing,0.0,0.8277,0.8212,0.8244
UmWkmGAu5Hc.14,tool metal,in the voice of a man a chessboard is displayed,0.0,0.8231,0.8292,0.8261
Uq3iKbCNDCM_60.000_70.000,man violin church,in the voice of a man the mouse moves on the screen,0.3333,0.8389,0.8574,0.8481
W7gn2todzbg_30.000_40.000,alarm bell,a man in a blue jacket was talking,0.0,0.8155,0.8107,0.8131
Wtll1g9i0M8.15,man scarf blue,in the room a woman was holding a child and talking,0.0,0.8371,0.8298,0.8334
YSsSpw_t0I4.45,woman makeup mirror,in the room a woman with glasses was talking to the camera,0.3333,0.8315,0.8146,0.823
ZHSPLH5-zvw_50.000_60.000,man drum kit,a man in a gray coat lay on the ground and spoke,0.3333,0.8164,0.8336,0.8249
ZX7EzqMBjfo_160.000_170.000,yellow leaves piano,a man in a black suit is introducing a basketball game,0.0,0.8249,0.8056,0.8151
ZZKUxUjdcQw.17,woman baby,in the snow a man in a hat was talking,0.0,0.827,0.8504,0.8386
_PtMggNfNHY.1,man park,in the room a man in a blue shortsleeved shirt and a man in a black shortsleeved shirt were talking with a piece of wood in,0.5,0.7512,0.8175,0.783
_dXv_q8ierI.19,man backpack fishing rod,a man was riding a motorcycle on the road and a man was talking,0.25,0.8407,0.8606,0.8505
a7g3P1HGV4E_0.000_7.000,tree wind indicator,in the room a woman was brushing her hair and talking,0.0,0.8108,0.8142,0.8125
aAzt7VFvhH0.5,game console cartoon,a man in a black coat was introducing a green machine,0.0,0.8186,0.8488,0.8334
aoRW7iWXwoM.31,man walk sidewalk,a man in a black suit and a woman in a black coat were talking,0.3333,0.801,0.8427,0.8213
b4G1my-YWoU.13,dog woman snow ice lake boot winter,a woman in a purple coat was walking in the snow talking,0.2857,0.8401,0.857,0.8485
brRabaaeoy4.36,bread sauce plate,a man in a black coat was talking,0.0,0.8124,0.8233,0.8178
bvoF_lFC_gg.59,man table chair backpack,a woman in a white top speaks to a man next to her,0.25,0.8296,0.804,0.8166
cJGg7_oC-wM_70.000_80.000,woman massage balcony man,a man in a white jacket speaks to the camera in front of a blue planet,0.25,0.8291,0.8577,0.8432
clJZQsQzGCA_490.000_500.000,bell,in the room a man in a black coat was talking to a man in a black coat,0.0,0.7782,0.828,0.8023
d3or4p2BXx0_260.000_270.000,television,in the picture a man is explaining the game,0.0,0.8186,0.8166,0.8176
e3BdNhbiDwA_230.000_240.000,juicer arm watch,a man and a woman were talking in the room,0.0,0.8413,0.7999,0.8201
e6Df7Ocuqcs_180.000_190.000,dog forest,in the voice of a man the mouse keys operate on the computer interface,0.0,0.827,0.8281,0.8275
eRiuGf1nzM0.3,woman newsroom,in the room a man speaks with a red egg,0.0,0.8164,0.8049,0.8106
evy2azZk3kE_40.000_50.000,man instrument harp,outside a man speaks as he looks at the animals in the cage,0.3333,0.825,0.8114,0.8181
fWwV7o4VjEQ_30.000_40.000,paint woman,four men sat at a table in the room talking,0.0,0.839,0.8775,0.8578
g7sVjiG-ytg_110.000_120.000,computer screen white stripes,a man in a black suit was talking to a man in a black suit,0.0,0.8148,0.823,0.8189
h8myevRe4r0_0.000_10.000,text,a man and a woman sat on the sofa talking,0.0,0.8022,0.831,0.8164
hJYU3nBSyFo_10.000_20.000,red car,in the room a man in a red coat was talking,0.5,0.805,0.844,0.8241
izQ3nLG4wU0.12,man table basketball game,a group of people sang and danced on the stage and a man spoke,0.25,0.8339,0.8376,0.8357
j53tAI-EGcI_30.000_40.000,deer cuckoo clock,a group of people sat in the room listening to a man talking,0.0,0.8409,0.8037,0.8219
jn9rHjphwtY.3,TV program woman man,a man in a black coat was holding a piece of paper and talking to a man next to him,0.25,0.8254,0.8364,0.8309
kVDixF4dN3g.9,woman people lecture flower stone,in the room a man in a plaid shirt was talking to the camera,0.0,0.8208,0.8487,0.8345
mAG7Kwi9KOI.71,dog shoes woman clothes man,in the game a man is shooting with a gun and a mans voice is heard,0.2,0.8345,0.8133,0.8238
mNsYlojC_kM_230.000_240.000,woman street skateboard people overpass house chair bridge,in the room a man in black shortsleeves sat on a stool and spoke,0.0,0.7831,0.8049,0.7939
ockTDkyCbiY.22,man coat glove hat tree snow,outside a man in a hat speaks to the camera,0.3333,0.8429,0.8129,0.8277
p63sYVCLVUk_30.000_40.000,man grinder metal,in the room a woman in a blue coat sat in a chair and spoke with a mask on her face,0.0,0.7917,0.7895,0.7906
pZF-hff52ts_60.000_70.000,sniper scope gun shoot soldier compass video game,a man in a blue coat sat on a rock talking,0.0,0.8258,0.8137,0.8197
piYDsIrSvME.27,man trees,in the voice of a woman a man lies in bed and then a man appears,0.5,0.82,0.8605,0.8398
prmGPzSpZtg.20,people crowd convention paper car,a man is introducing and displaying the machine in front of him,0.0,0.8375,0.8448,0.8411
pyehK5UGPk8.17,man coat wall glasses room,a man was in the room talking and fiddling with his belongings,0.4,0.837,0.8248,0.8308
r5kMQR8qbcQ_30.000_40.000,wind bell wild trees flower,a man in a black coat speaks with a camera,0.0,0.8338,0.8278,0.8308
rCqVWGlMXcY.1,man shirt brick wall logo earth,a man in a black coat was talking to someone next to him,0.1667,0.822,0.822,0.822
rzHXGinD6ZE_20.000_30.000,woman dress door Spider-Man car,a man in a black coat was walking down the street talking,0.0,0.8375,0.8296,0.8335
s8UnuTvElzQ_0.000_10.000,instrument red carpet,in the animation a man and a woman talk in the woods,0.0,0.8364,0.809,0.8225
sEHxWBHUAlM.121,man room computer motherboard box mouse,outside a man speaks as he displays his belongings,0.1667,0.8281,0.8175,0.8227
uKGo4phKqLM_10.000_20.000,woman crowd dance,a woman in a blue coat was speaking with a horn,0.3333,0.8199,0.8612,0.8401
uLWBKxHSwyY.36,man red shirt hat room green fire tree rollercoaster,a man in a black coat was talking to a woman in the room,0.2222,0.8437,0.8171,0.8302
uLcn-Q-TLO8.39,dog golden retriever floor woman room glass,a man in a plaid shirt was talking to a man next to him,0.0,0.8229,0.7799,0.8008
v266CJ4-yhA.12,host TV man woman,a man in a black coat was talking,0.25,0.8157,0.8445,0.8299
vB00cAT5iPo_60.000_70.000,hamster white broccoli table,a woman in a black coat was talking in the room,0.0,0.829,0.8049,0.8168
wC-L0S7Lz_0.46,knife rope glove paper floor,a man in a gray coat was skating on the rink and a man was talking,0.0,0.8228,0.8124,0.8176
wllkJ2lazaI.4,man earth space ocean,a man in a black suit was talking to a man in a black suit,0.25,0.7962,0.832,0.8137
xfNeZaw4o3U_17.000_27.000,man bicycle bike road street,in the voice of a man the red background has white letters,0.2,0.8303,0.8281,0.8292
y2ZbO4KBLnY.3,man motorcycle road sunglasses,in the room a man was talking to another man,0.25,0.8247,0.8379,0.8312
yBYd03Hr2kQ_320.000_330.000,instrument guitar pedal,in the room a man was talking with a knife,0.0,0.8266,0.8044,0.8153
z3xiKSDoZEI_160.000_170.000,scissors cloth table,in the room a woman in a red checkered shirt was putting on makeup as she spoke,0.0,0.7919,0.7868,0.7894
zUCZ4R0NNes_0.000_10.000,woman sofa,in the voice of a man a building appeared,0.0,0.8369,0.8459,0.8413
zZU-PJA5Woo_30.000_40.000,band instruments,in the kitchen a woman was making food while talking,0.0,0.836,0.8289,0.8324
ze0vbGinCyY.54,men room table,on the grass a man in a hat was talking to another man,0.0,0.8065,0.7878,0.797
