video_id,objectlabels_groundtruth,generated_caption,objectlabels_rouge1_recall,objectlabels_bert_precision,objectlabels_bert_recall,objectlabels_bert_f1
UbpTXBNIXtQ.18,apple computer program image,"A photo of a garden bench surrounded by lush greenery is being edited in Adobe Lightroom, with adjustments made for warmth and finishing touches.",0.0,0.8121,0.8377,0.8247
UmWkmGAu5Hc.14,tool metal,A person inspects and points at a worn-out bearing on a rusty car part while discussing plans to make stress relief cuts.,0.0,0.8011,0.8194,0.8101
Uq3iKbCNDCM_60.000_70.000,man violin church,"A contemplative man listens intently as a violinist performs passionately in an elegant, empty concert hall.",0.3333,0.8233,0.8747,0.8482
W7gn2todzbg_30.000_40.000,alarm bell,The video clip shows two vintage alarm clocks gradually ticking towards the same time.,0.5,0.8322,0.8133,0.8226
Wtll1g9i0M8.15,man scarf blue,"A person enthusiastically talks and laughs while explaining a mistake they made about using the word ""loophole,"" referencing how JK Rowling created a loophole in the Harry Potter series with the houses matching people's characteristics.",0.0,0.798,0.8277,0.8126
YSsSpw_t0I4.45,woman makeup mirror,A person is discussing their eyebrow grooming technique while applying makeup to their eyebrows and looking in a mirror.,0.6667,0.8526,0.9047,0.8778
ZHSPLH5-zvw_50.000_60.000,man drum kit,A drummer passionately plays a dynamic solo in a studio setting.,0.0,0.8579,0.885,0.8713
ZX7EzqMBjfo_160.000_170.000,yellow leaves piano,A serene video clip transitions from vibrant autumn leaves to a musician playing a keyboard instrument indoors.,0.3333,0.8264,0.8381,0.8322
ZZKUxUjdcQw.17,woman baby,"A baby in a polka-dot outfit enjoys being gently patted and admired in a cozy setting, while someone humorously comments on the baby's wild hair.",0.5,0.8193,0.9128,0.8635
_PtMggNfNHY.1,man park,"A man wearing a hat speaks outdoors near a wooden play structure, appearing thoughtful and reflective, as he mentions setting up something in the garage for Nicole and PJ and a conversation with Nicole about the vet.",0.5,0.8072,0.832,0.8194
_dXv_q8ierI.19,man backpack fishing rod,"A person organizes equipment, including leader and worm bags, into a kayak on a wooded trail, preparing for a fishing trip.",0.25,0.851,0.8765,0.8636
a7g3P1HGV4E_0.000_7.000,tree wind indicator,A vertical wind turbine spins steadily against a cloudy sky.,0.3333,0.8482,0.8782,0.8629
aAzt7VFvhH0.5,game console cartoon,"In the video clip, characters from a popular fighting game engage in a dynamic battle displayed on a PS Vita, highlighting its accessibility and fun for players to enjoy with friends.",0.3333,0.8205,0.8566,0.8382
aoRW7iWXwoM.31,man walk sidewalk,"A person with curly hair walks excitedly through an urban construction area, gesturing energetically at the surroundings while expressing amazement at its size and comparing it to a grand, iron palace.",0.0,0.7922,0.8351,0.8131
b4G1my-YWoU.13,dog woman snow ice lake boot winter,"A black dog named Hanna runs excitedly through a snowy yard, while a person in winter clothing walks cautiously near a frozen pond, commenting on the thinness of the ice that cracks underfoot.",0.4286,0.8127,0.857,0.8343
brRabaaeoy4.36,bread sauce plate,A person artfully makes a sandwich by spreading Thousand Island dressing on toasted buns in the kitchen while commenting on the size of the buns.,0.0,0.8093,0.8285,0.8188
bvoF_lFC_gg.59,man table chair backpack,"A man sits on a bench in a room, animatedly discussing seating arrangements and moving, after placing a box on the floor.",0.25,0.8238,0.8221,0.8229
cJGg7_oC-wM_70.000_80.000,woman massage balcony man,"A woman is giving a seated massage to another person on a patio, while discussing the challenges of working at computers for long periods.",0.5,0.836,0.8732,0.8542
clJZQsQzGCA_490.000_500.000,bell,"The video clip captures a close-up sequence transitioning from a distant city view to the ringing of a large bell, emphasizing its intricate structure and movement.",1.0,0.7898,0.8377,0.813
d3or4p2BXx0_260.000_270.000,television,"A shadowy figure appears on a static-filled TV screen before it fades to black, leaving the room in darkness.",0.0,0.7859,0.8088,0.7972
e3BdNhbiDwA_230.000_240.000,juicer arm watch,A person is blending a pink smoothie in a blender.,0.0,0.8355,0.8062,0.8206
e6Df7Ocuqcs_180.000_190.000,dog forest,A mysterious creature briefly appears and then disappears in the dense forest.,0.5,0.8455,0.8942,0.8692
eRiuGf1nzM0.3,woman newsroom,"A news anchor delivers a report in a bustling newsroom setting, discussing the tragic float plane crash off the coast of central BC that resulted in five fatalities.",0.5,0.8067,0.8454,0.8256
evy2azZk3kE_40.000_50.000,man instrument harp,"A musician energetically performs on stage, playing the harp and singing into a microphone.",0.3333,0.8383,0.8612,0.8496
fWwV7o4VjEQ_30.000_40.000,paint woman,A video transitions from a close-up of hands with painted facial features to a contemplative woman leaning against a wall with braided hair in a vintage outfit.,0.5,0.7929,0.8761,0.8324
g7sVjiG-ytg_110.000_120.000,computer screen white stripes,The video clip shows a computer screen displaying a music production software interface with various sound samples and controls.,0.5,0.8217,0.8376,0.8295
h8myevRe4r0_0.000_10.000,text,"The video clip introduces ""The Revelation,"" presented by Dream Up, with a promise of more than 20 tracks.",0.0,0.7941,0.8118,0.8029
hJYU3nBSyFo_10.000_20.000,red car,A red car emits exhaust from its tailpipe while stationary in a driveway.,1.0,0.8246,0.8884,0.8553
izQ3nLG4wU0.12,man table basketball game,"Scottie Pippen joins a sports talk show to discuss the 1995-96 Bulls' historic 72-win NBA season, while the conversation also highlights the Golden State Warriors' mastery of the game from the three-point line and defensive end, alongside clips from the NBA Finals between the Warriors and Cavaliers.",0.25,0.7773,0.8165,0.7964
j53tAI-EGcI_30.000_40.000,deer cuckoo clock,A wooden cuckoo clock gradually reveals its intricate carving details.,0.6667,0.8779,0.9391,0.9074
jn9rHjphwtY.3,TV program woman man,"Two anchors discuss a critical Washington Post op-ed about Trump, displaying a tweet from him where he refers to a morning show as ""morning psycho"" and compares its quality to others.",0.0,0.8038,0.8302,0.8168
kVDixF4dN3g.9,woman people lecture flower stone,"A community meeting is held indoors, featuring a statement about Parks Board meetings, followed by two individuals examining large wooden structures outdoors.",0.0,0.8389,0.8561,0.8474
mAG7Kwi9KOI.71,dog shoes woman clothes man,"A woman plays with a dog, while a man records himself speaking in an elevator about going on a walk and leaving for his buddy's house, mentioning that Rebecca thinks he's gone.",0.6,0.8069,0.8217,0.8142
mNsYlojC_kM_230.000_240.000,woman street skateboard people overpass house chair bridge,"A skateboarder attempts tricks under a bridge, experiences a fall, and then stands up smiling, cheered on by someone encouraging them with ""Go, go, go, go, go!""",0.125,0.8065,0.8604,0.8326
ockTDkyCbiY.22,man coat glove hat tree snow,"A person in winter clothing is expressing frustration or concern while discussing the lack of deep, meaningful conversations typically experienced in Germany, in a snowy outdoor setting.",0.0,0.8198,0.8075,0.8136
p63sYVCLVUk_30.000_40.000,man grinder metal,A craftsman skillfully sharpens blades using a grinding wheel in a workshop.,0.0,0.843,0.8364,0.8397
pZF-hff52ts_60.000_70.000,sniper scope gun shoot soldier compass video game,"A soldier navigates a snowy military base, eliminating enemies and acquiring weapons with precision sniping, while issuing commands to ""Stay down.""",0.125,0.8237,0.8407,0.8322
piYDsIrSvME.27,man trees,"A man stands outdoors in a wooded area, speaking to the camera and encouraging viewers to like, share, or comment on the video.",0.5,0.8049,0.8481,0.826
prmGPzSpZtg.20,people crowd convention paper car,"A group of people excitedly gathers around a car show display, comparing a blue sports car illustration to the vehicle on display, while expressing amazement and reminding each other to be nice.",0.4,0.8171,0.8391,0.828
pyehK5UGPk8.17,man coat wall glasses room,"A person in a black coat is speaking and gesturing in a partially renovated room with exposed brick walls, discussing the rigorous 160-point inspection process for Land Rover Approved vehicles.",0.4,0.805,0.8388,0.8216
r5kMQR8qbcQ_30.000_40.000,wind bell wild trees flower,A large wind chime gently sways and turns in a lush garden setting on a breezy day.,0.2,0.8279,0.8242,0.8261
rCqVWGlMXcY.1,man shirt brick wall logo earth,"A person is seen smiling and talking, followed by animated graphics, leading into a news segment hosted by Trace Dominguez, with the speaker reassuring about a medical-related topic.",0.0,0.8056,0.8255,0.8154
rzHXGinD6ZE_20.000_30.000,woman dress door Spider-Man car,"A cartoon character enters a room, while a superhero poses beside a car, concluding with ""The End"" followed by a ""Special Scene,"" and a voice exclaims, ""YOU MADE IT!""",0.2,0.8155,0.8333,0.8243
s8UnuTvElzQ_0.000_10.000,instrument red carpet,A person spins and plays with a small dumbbell-shaped object on a red surface.,0.3333,0.8066,0.8018,0.8042
sEHxWBHUAlM.121,man room computer motherboard box mouse,"Two people discuss and assemble computer components, reviewing hardware products, while engaging in a light-hearted conversation about posture and talking to their moms.",0.1667,0.8238,0.8409,0.8323
uKGo4phKqLM_10.000_20.000,woman crowd dance,"A woman in a white crop top and jeans performs a dance routine on stage in front of a cheering crowd, accompanied by the energetic chant ""Get it out! Get it out!""",1.0,0.8119,0.8844,0.8466
uLWBKxHSwyY.36,man red shirt hat room green fire tree rollercoaster,"A man discusses something enthusiastically indoors, mentioning the heat and a train, before the scene shifts to an outdoor view of a fiery explosion on a roller coaster track amidst tall plants.",0.1111,0.8233,0.8248,0.8241
uLcn-Q-TLO8.39,dog golden retriever floor woman room glass,"A German Shepherd and a Golden Retriever play with leashes on the floor while a person talks about keeping a leash attached to a person at all times, followed by a scene of multiple dogs gathered together.",0.4286,0.8218,0.845,0.8333
v266CJ4-yhA.12,host TV man woman,"A TV segment discusses the ending of ""Game of Thrones"" after its eighth season with interviews and reactions, including speculation about Drogon's actions following a pivotal scene.",0.25,0.7965,0.8448,0.8199
vB00cAT5iPo_60.000_70.000,hamster white broccoli table,"A cute hamster enthusiastically nibbles on a piece of broccoli on a table while a person briefly acknowledges with an ""Okay.""",0.75,0.8134,0.8428,0.8278
wC-L0S7Lz_0.46,knife rope glove paper floor,"A person demonstrates the features and performance of a folding knife, showcasing its ability to cut through a magazine and discussing its utility for cutting ropes and seatbelts.",0.2,0.8187,0.8251,0.8219
wllkJ2lazaI.4,man earth space ocean,"A man discusses the origins of Earth's water, gesturing emphatically in front of a digital image of Earth, while considering theories about internal sources and comets.",0.5,0.8172,0.85,0.8333
xfNeZaw4o3U_17.000_27.000,man bicycle bike road street,"A person rides a bicycle down a driveway and onto a road, gradually disappearing from view.",0.4,0.8432,0.8781,0.8603
y2ZbO4KBLnY.3,man motorcycle road sunglasses,"Two bikers are seen taking rides on their motorcycles through urban and industrial settings, with scenes of them parked and discussing their experiences, specifically comparing a new Harley-Davidson Breakout and a Victory Gunner motorcycle.",0.25,0.8148,0.8586,0.8361
yBYd03Hr2kQ_320.000_330.000,instrument guitar pedal,A person adjusts the settings on a Cosmicchorus guitar pedal to demonstrate its features.,0.6667,0.8317,0.8916,0.8606
z3xiKSDoZEI_160.000_170.000,scissors cloth table,A person carefully trims excess fabric from a piece of cloth with scissors.,0.6667,0.8433,0.8432,0.8433
zUCZ4R0NNes_0.000_10.000,woman sofa,"A person is peacefully asleep on a couch, wrapped in a blanket, as someone says, ""Thanks for watching!""",0.0,0.8102,0.8716,0.8397
zZU-PJA5Woo_30.000_40.000,band instruments,"A marching band, dressed in kilts, performs with bagpipes and drums under large stone arches on a rainy day.",0.5,0.8067,0.8279,0.8171
ze0vbGinCyY.54,men room table,Four men have a lively discussion about the importance of winning and securing fourth place in football during a panel setting.,0.3333,0.8257,0.7857,0.8053
